Taxon	TaxID	Fragments	PropTotal	PropNonHost
Pseudomonadaceae	135621	90	6.773544671941051e-6	0.09414225941422594
Streptococcaceae	1300	90	6.773544671941051e-6	0.09414225941422594
Comamonadaceae	80864	65	4.8920044852907584e-6	0.06799163179916318
Pseudonocardiaceae	2070	47	3.5372955509025485e-6	0.049163179916317995
Propionibacteriaceae	31957	45	3.3867723359705253e-6	0.04707112970711297
Caulobacteraceae	76892	40	3.0104642986404667e-6	0.04184100418410042
Moraxellaceae	468	37	2.7846794762424317e-6	0.038702928870292884
Streptomycetaceae	2062	34	2.5588946538443967e-6	0.03556485355648536
Bradyrhizobiaceae	41294	32	2.4083714389123735e-6	0.03347280334728033
Xanthomonadaceae	32033	31	2.3331098314463617e-6	0.032426778242677826
Burkholderiaceae	119060	25	1.8815401866502917e-6	0.02615062761506276
Micrococcaceae	1268	25	1.8815401866502917e-6	0.02615062761506276
Lactobacillaceae	33958	23	1.7310169717182683e-6	0.02405857740585774
Sphingomonadaceae	41297	21	1.5804937567862452e-6	0.021966527196652718
Microbacteriaceae	85023	20	1.5052321493202334e-6	0.02092050209205021
Boseaceae	2831100	19	1.4299705418542218e-6	0.0198744769874477
Rhizobiaceae	82115	19	1.4299705418542218e-6	0.0198744769874477
Herpesviridae	10292	18	1.35470893438821e-6	0.01882845188284519
Micromonosporaceae	28056	17	1.2794473269221984e-6	0.01778242677824268
Alcaligenaceae	506	16	1.2041857194561868e-6	0.016736401673640166
Oxalobacteraceae	75682	16	1.2041857194561868e-6	0.016736401673640166
Phyllobacteriaceae	69277	14	1.0536625045241634e-6	0.014644351464435146
Bifidobacteriaceae	31953	13	9.784008970581518e-7	0.013598326359832637
Prevotellaceae	171552	13	9.784008970581518e-7	0.013598326359832637
Enterobacteriaceae	543	11	8.278776821261284e-7	0.011506276150627616
Halomonadaceae	28256	11	8.278776821261284e-7	0.011506276150627616
Nocardiopsaceae	83676	11	8.278776821261284e-7	0.011506276150627616
Aerococcaceae	186827	11	8.278776821261284e-7	0.011506276150627616
Staphylococcaceae	90964	11	8.278776821261284e-7	0.011506276150627616
Acetobacteraceae	433	9	6.77354467194105e-7	0.009414225941422594
Neisseriaceae	481	9	6.77354467194105e-7	0.009414225941422594
Nocardioidaceae	85015	9	6.77354467194105e-7	0.009414225941422594
Nocardiaceae	85025	8	6.020928597280934e-7	0.008368200836820083
Methylobacteriaceae	119045	7	5.268312522620817e-7	0.007322175732217573
Actinomycetaceae	2049	6	4.5156964479607004e-7	0.006276150627615063
Xanthobacteraceae	335928	5	3.7630803733005834e-7	0.005230125523012552
Oceanospirillaceae	135620	5	3.7630803733005834e-7	0.005230125523012552
Bacteroidaceae	815	5	3.7630803733005834e-7	0.005230125523012552
Brucellaceae	118882	4	3.010464298640467e-7	0.0041841004184100415
Aeromonadaceae	84642	4	3.010464298640467e-7	0.0041841004184100415
Promicromonosporaceae	85017	4	3.010464298640467e-7	0.0041841004184100415
Gordoniaceae	85026	4	3.010464298640467e-7	0.0041841004184100415
Deinococcaceae	183710	4	3.010464298640467e-7	0.0041841004184100415
Devosiaceae	2831106	3	2.2578482239803502e-7	0.0031380753138075313
Roseobacteraceae	2854170	3	2.2578482239803502e-7	0.0031380753138075313
Yersiniaceae	1903411	3	2.2578482239803502e-7	0.0031380753138075313
Desulfobulbaceae	213121	3	2.2578482239803502e-7	0.0031380753138075313
Enterococcaceae	81852	3	2.2578482239803502e-7	0.0031380753138075313
Bacillaceae	186817	3	2.2578482239803502e-7	0.0031380753138075313
Selenomonadaceae	1843491	3	2.2578482239803502e-7	0.0031380753138075313
Weeksellaceae	2762318	3	2.2578482239803502e-7	0.0031380753138075313
Erythrobacteraceae	335929	2	1.5052321493202335e-7	0.0020920502092050207
Rhodobacteraceae	31989	2	1.5052321493202335e-7	0.0020920502092050207
Pectobacteriaceae	1903410	2	1.5052321493202335e-7	0.0020920502092050207
Anaeromyxobacteraceae	1524215	2	1.5052321493202335e-7	0.0020920502092050207
Brevibacteriaceae	85019	2	1.5052321493202335e-7	0.0020920502092050207
Intrasporangiaceae	85021	2	1.5052321493202335e-7	0.0020920502092050207
Mycobacteriaceae	1762	2	1.5052321493202335e-7	0.0020920502092050207
Geodermatophilaceae	85030	2	1.5052321493202335e-7	0.0020920502092050207
Egicoccaceae	1755824	2	1.5052321493202335e-7	0.0020920502092050207
Oscillospiraceae	216572	2	1.5052321493202335e-7	0.0020920502092050207
Tannerellaceae	2005525	2	1.5052321493202335e-7	0.0020920502092050207
Sulfolobaceae	118883	2	1.5052321493202335e-7	0.0020920502092050207
