Taxon	TaxID	Fragments	PropTotal	PropNonHost
Comamonadaceae	80864	40	6.5573770491803276e-6	0.12944983818770225
Pseudomonadaceae	135621	40	6.5573770491803276e-6	0.12944983818770225
Burkholderiaceae	119060	26	4.2622950819672135e-6	0.08414239482200647
Pseudonocardiaceae	2070	18	2.9508196721311474e-6	0.05825242718446602
Alcaligenaceae	506	17	2.786885245901639e-6	0.05501618122977346
Xanthomonadaceae	32033	15	2.459016393442623e-6	0.04854368932038835
Propionibacteriaceae	31957	13	2.1311475409836067e-6	0.042071197411003236
Caulobacteraceae	76892	10	1.6393442622950819e-6	0.032362459546925564
Microbacteriaceae	85023	10	1.6393442622950819e-6	0.032362459546925564
Methylobacteriaceae	119045	9	1.4754098360655737e-6	0.02912621359223301
Staphylococcaceae	90964	9	1.4754098360655737e-6	0.02912621359223301
Streptomycetaceae	2062	8	1.3114754098360655e-6	0.025889967637540454
Moraxellaceae	468	7	1.1475409836065575e-6	0.022653721682847898
Oxalobacteraceae	75682	6	9.836065573770493e-7	0.019417475728155338
Rhizobiaceae	82115	6	9.836065573770493e-7	0.019417475728155338
Rhodobacteraceae	31989	6	9.836065573770493e-7	0.019417475728155338
Enterobacteriaceae	543	5	8.196721311475409e-7	0.016181229773462782
Micrococcaceae	1268	5	8.196721311475409e-7	0.016181229773462782
Nocardiopsaceae	83676	5	8.196721311475409e-7	0.016181229773462782
Bradyrhizobiaceae	41294	4	6.557377049180327e-7	0.012944983818770227
Phyllobacteriaceae	69277	4	6.557377049180327e-7	0.012944983818770227
Sphingomonadaceae	41297	4	6.557377049180327e-7	0.012944983818770227
Nocardioidaceae	85015	4	6.557377049180327e-7	0.012944983818770227
Nocardiaceae	85025	4	6.557377049180327e-7	0.012944983818770227
Streptococcaceae	1300	4	6.557377049180327e-7	0.012944983818770227
Weeksellaceae	2762318	4	6.557377049180327e-7	0.012944983818770227
Aeromonadaceae	84642	3	4.918032786885246e-7	0.009708737864077669
Bacillaceae	186817	3	4.918032786885246e-7	0.009708737864077669
Rhodocyclaceae	75787	2	3.2786885245901637e-7	0.006472491909385114
Zoogloeaceae	2008794	2	3.2786885245901637e-7	0.006472491909385114
Halomonadaceae	28256	2	3.2786885245901637e-7	0.006472491909385114
Aurantimonadaceae	255475	2	3.2786885245901637e-7	0.006472491909385114
Ornithinimicrobiaceae	2805590	2	3.2786885245901637e-7	0.006472491909385114
Corynebacteriaceae	1653	2	3.2786885245901637e-7	0.006472491909385114
Gordoniaceae	85026	2	3.2786885245901637e-7	0.006472491909385114
Micromonosporaceae	28056	2	3.2786885245901637e-7	0.006472491909385114
Actinomycetaceae	2049	2	3.2786885245901637e-7	0.006472491909385114
Methanomicrobiaceae	2194	2	3.2786885245901637e-7	0.006472491909385114
