Taxon	TaxID	Fragments	PropTotal	PropNonHost
Clostridiaceae	31979	257	2.9438717067583048e-5	0.08656113169417312
Pseudomonadaceae	135621	207	2.3711340206185567e-5	0.06972044459413944
Pseudonocardiaceae	2070	174	1.9931271477663232e-5	0.05860559110811721
Comamonadaceae	80864	171	1.9587628865979382e-5	0.05759514988211519
Xanthomonadaceae	32033	139	1.5922107674684996e-5	0.046817110138093636
Streptomycetaceae	2062	132	1.5120274914089348e-5	0.04445941394408892
Phyllobacteriaceae	69277	131	1.5005727376861397e-5	0.04412260020208825
Moraxellaceae	468	113	1.2943871706758305e-5	0.03805995284607612
Sphingomonadaceae	41297	100	1.145475372279496e-5	0.033681374200067365
Nocardiopsaceae	83676	85	9.736540664375717e-6	0.02862916807005726
Bradyrhizobiaceae	41294	83	9.507445589919818e-6	0.02795554058605591
Rhizobiaceae	82115	80	9.163802978235968e-6	0.02694509936005389
Rhodobacteraceae	31989	77	8.820160366552118e-6	0.02593465813405187
Halomonadaceae	28256	63	7.216494845360825e-6	0.021219265746042437
Microbacteriaceae	85023	62	7.1019473081328756e-6	0.020882452004041766
Burkholderiaceae	119060	61	6.987399770904925e-6	0.02054563826204109
Bacillaceae	186817	56	6.414662084765177e-6	0.018861569552037723
Nocardioidaceae	85015	50	5.72737686139748e-6	0.016840687100033683
Mycobacteriaceae	1762	44	5.040091638029782e-6	0.01481980464802964
Xanthobacteraceae	335928	43	4.925544100801833e-6	0.014482990906028967
Enterobacteriaceae	543	39	4.467353951890034e-6	0.013135735938026272
Alcaligenaceae	506	32	3.6655211912943874e-6	0.010778039744021556
Methylobacteriaceae	119045	29	3.321878579610538e-6	0.009767598518019536
Hyphomicrobiaceae	45401	27	3.092783505154639e-6	0.009093971034018189
Micromonosporaceae	28056	27	3.092783505154639e-6	0.009093971034018189
Oxalobacteraceae	75682	26	2.9782359679266895e-6	0.008757157292017514
Erythrobacteraceae	335929	25	2.86368843069874e-6	0.008420343550016841
Caulobacteraceae	76892	23	2.6345933562428407e-6	0.007746716066015493
Devosiaceae	2831106	22	2.520045819014891e-6	0.00740990232401482
Roseobacteraceae	2854170	22	2.520045819014891e-6	0.00740990232401482
Brucellaceae	118882	21	2.4054982817869416e-6	0.007073088582014146
Micrococcaceae	1268	21	2.4054982817869416e-6	0.007073088582014146
Egicoccaceae	1755824	20	2.290950744558992e-6	0.006736274840013472
Azospirillaceae	2829815	19	2.1764032073310424e-6	0.006399461098012799
Nocardiaceae	85025	19	2.1764032073310424e-6	0.006399461098012799
Acidiferrobacteraceae	1692041	17	1.9473081328751433e-6	0.0057258336140114515
Propionibacteriaceae	31957	17	1.9473081328751433e-6	0.0057258336140114515
Aurantimonadaceae	255475	15	1.7182130584192439e-6	0.005052206130010104
Ectothiorhodospiraceae	72276	14	1.6036655211912943e-6	0.004715392388009431
Oscillospiraceae	216572	14	1.6036655211912943e-6	0.004715392388009431
Chromatiaceae	1046	12	1.3745704467353952e-6	0.0040417649040080834
Zoogloeaceae	2008794	12	1.3745704467353952e-6	0.0040417649040080834
Promicromonosporaceae	85017	11	1.2600229095074456e-6	0.00370495116200741
Rhodospirillaceae	41295	10	1.145475372279496e-6	0.003368137420006736
Rhodocyclaceae	75787	10	1.145475372279496e-6	0.003368137420006736
Streptosporangiaceae	2004	10	1.145475372279496e-6	0.003368137420006736
Acetobacteraceae	433	9	1.0309278350515464e-6	0.0030313236780060626
Rhodanobacteraceae	1775411	9	1.0309278350515464e-6	0.0030313236780060626
Cellulomonadaceae	85016	9	1.0309278350515464e-6	0.0030313236780060626
Ornithinimicrobiaceae	2805590	9	1.0309278350515464e-6	0.0030313236780060626
Corynebacteriaceae	1653	9	1.0309278350515464e-6	0.0030313236780060626
Geodermatophilaceae	85030	9	1.0309278350515464e-6	0.0030313236780060626
Paenibacillaceae	186822	9	1.0309278350515464e-6	0.0030313236780060626
Phreatobacteraceae	2843305	8	9.163802978235968e-7	0.002694509936005389
Thermomonosporaceae	2012	8	9.163802978235968e-7	0.002694509936005389
Tsukamurellaceae	85028	8	9.163802978235968e-7	0.002694509936005389
Iamiaceae	633392	8	9.163802978235968e-7	0.002694509936005389
Neisseriaceae	481	7	8.018327605956472e-7	0.0023576961940047153
Boseaceae	2831100	6	6.872852233676976e-7	0.0020208824520040417
Chelatococcaceae	2036754	6	6.872852233676976e-7	0.0020208824520040417
Sulfuricellaceae	2772226	6	6.872852233676976e-7	0.0020208824520040417
Chromobacteriaceae	1499392	6	6.872852233676976e-7	0.0020208824520040417
Polyangiaceae	49	6	6.872852233676976e-7	0.0020208824520040417
Dietziaceae	85029	6	6.872852233676976e-7	0.0020208824520040417
Actinomycetaceae	2049	6	6.872852233676976e-7	0.0020208824520040417
Lactobacillaceae	33958	6	6.872852233676976e-7	0.0020208824520040417
Planctomycetaceae	126	6	6.872852233676976e-7	0.0020208824520040417
Stappiaceae	2821832	5	5.72737686139748e-7	0.001684068710003368
Brevibacteriaceae	85019	5	5.72737686139748e-7	0.001684068710003368
Intrasporangiaceae	85021	5	5.72737686139748e-7	0.001684068710003368
Bacteroidaceae	815	5	5.72737686139748e-7	0.001684068710003368
Prevotellaceae	171552	5	5.72737686139748e-7	0.001684068710003368
Tannerellaceae	2005525	5	5.72737686139748e-7	0.001684068710003368
Vicinamibacteraceae	2211325	5	5.72737686139748e-7	0.001684068710003368
Reoviridae	10880	5	5.72737686139748e-7	0.001684068710003368
Erwiniaceae	1903409	4	4.581901489117984e-7	0.0013472549680026945
Azonexaceae	2008795	4	4.581901489117984e-7	0.0013472549680026945
Sterolibacteriaceae	2008793	4	4.581901489117984e-7	0.0013472549680026945
Miltoncostaeaceae	2843199	4	4.581901489117984e-7	0.0013472549680026945
Streptococcaceae	1300	4	4.581901489117984e-7	0.0013472549680026945
Flavobacteriaceae	49546	4	4.581901489117984e-7	0.0013472549680026945
Acidobacteriaceae	204434	4	4.581901489117984e-7	0.0013472549680026945
Coronaviridae	11118	4	4.581901489117984e-7	0.0013472549680026945
Methylocystaceae	31993	3	3.436426116838488e-7	0.0010104412260020209
Parvibaculaceae	2813035	3	3.436426116838488e-7	0.0010104412260020209
Lichenihabitantaceae	2723775	3	3.436426116838488e-7	0.0010104412260020209
Blastochloridaceae	2831090	3	3.436426116838488e-7	0.0010104412260020209
Hyphomonadaceae	69657	3	3.436426116838488e-7	0.0010104412260020209
Marinobacteraceae	2887365	3	3.436426116838488e-7	0.0010104412260020209
