Taxon	TaxID	Fragments	PropTotal	PropNonHost
Pseudonocardiaceae	2070	1053	0.00024041095890410958	0.07729007633587787
Pseudomonadaceae	135621	991	0.00022625570776255708	0.07273928361714621
Comamonadaceae	80864	753	0.00017191780821917808	0.055270111567821495
Streptomycetaceae	2062	750	0.00017123287671232877	0.05504991192014093
Moraxellaceae	468	574	0.00013105022831050227	0.042131532589547854
Phyllobacteriaceae	69277	560	0.00012785388127853882	0.041103934233705224
Nocardiopsaceae	83676	552	0.00012602739726027398	0.040516735173223725
Paenibacillaceae	186822	523	0.00011940639269406393	0.03838813857897827
Xanthomonadaceae	32033	477	0.0001089041095890411	0.03501174398120963
Sphingomonadaceae	41297	467	0.00010662100456621005	0.034277745155607754
Rhizobiaceae	82115	413	9.429223744292238e-5	0.030314151497357604
Rhodobacteraceae	31989	369	8.424657534246576e-5	0.027084556664709335
Bradyrhizobiaceae	41294	365	8.333333333333333e-5	0.026790957134468586
Halomonadaceae	28256	326	7.442922374429223e-5	0.023928361714621257
Burkholderiaceae	119060	294	6.712328767123288e-5	0.021579565472695243
Microbacteriaceae	85023	292	6.666666666666667e-5	0.021432765707574866
Nocardioidaceae	85015	218	4.977168949771689e-5	0.016001174398120963
Mycobacteriaceae	1762	189	4.315068493150685e-5	0.013872577803875514
Alcaligenaceae	506	161	3.675799086757991e-5	0.011817381092190252
Micrococcaceae	1268	156	3.561643835616438e-5	0.011450381679389313
Hyphomicrobiaceae	45401	154	3.5159817351598174e-5	0.011303581914268937
Nocardiaceae	85025	148	3.378995433789954e-5	0.01086318261890781
Methylobacteriaceae	119045	147	3.356164383561644e-5	0.010789782736347621
Caulobacteraceae	76892	147	3.356164383561644e-5	0.010789782736347621
Xanthobacteraceae	335928	146	3.3333333333333335e-5	0.010716382853787433
Micromonosporaceae	28056	144	3.287671232876712e-5	0.010569583088667059
Phreatobacteraceae	2843305	135	3.082191780821918e-5	0.009908984145625367
Oxalobacteraceae	75682	125	2.8538812785388127e-5	0.009174985320023489
Devosiaceae	2831106	115	2.6255707762557077e-5	0.008440986494421609
Egicoccaceae	1755824	112	2.557077625570776e-5	0.008220786846741044
Roseobacteraceae	2854170	105	2.3972602739726026e-5	0.00770698766881973
Erythrobacteraceae	335929	97	2.2146118721461187e-5	0.007119788608338226
Boseaceae	2831100	92	2.100456621004566e-5	0.006752789195537287
Aurantimonadaceae	255475	90	2.0547945205479453e-5	0.006605989430416911
Azospirillaceae	2829815	87	1.9863013698630137e-5	0.006385789782736347
Zoogloeaceae	2008794	66	1.5068493150684931e-5	0.004844392248972402
Corynebacteriaceae	1653	60	1.3698630136986302e-5	0.004403992953611274
Promicromonosporaceae	85017	58	1.3242009132420092e-5	0.0042571931884908985
Bacillaceae	186817	58	1.3242009132420092e-5	0.0042571931884908985
Iamiaceae	633392	57	1.3013698630136986e-5	0.00418379330593071
Acidiferrobacteraceae	1692041	52	1.1872146118721461e-5	0.003816793893129771
Rhodanobacteraceae	1775411	51	1.1643835616438355e-5	0.003743394010569583
