Taxon	TaxID	Fragments	PropTotal	PropNonHost
Streptococcus	1301	35	5.654281098546042e-6	0.44871794871794873
Pseudomonas	286	13	2.10016155088853e-6	0.16666666666666666
Pseudonocardia	1847	4	6.462035541195476e-7	0.05128205128205128
Marinithermus	186191	4	6.462035541195476e-7	0.05128205128205128
Prevotella	838	4	6.462035541195476e-7	0.05128205128205128
Streptomyces	1883	3	4.846526655896607e-7	0.038461538461538464
Massilia	149698	3	4.846526655896607e-7	0.038461538461538464
Lacticaseibacillus	2759736	2	3.231017770597738e-7	0.02564102564102564
Halopseudomonas	2901189	2	3.231017770597738e-7	0.02564102564102564
Ralstonia	48736	2	3.231017770597738e-7	0.02564102564102564
Alcaligenes	507	2	3.231017770597738e-7	0.02564102564102564
Bosea	85413	2	3.231017770597738e-7	0.02564102564102564
Brevundimonas	41275	2	3.231017770597738e-7	0.02564102564102564
