Taxon	TaxID	Fragments	PropTotal	PropNonHost
Cutibacterium	1912216	43	2.2319248088408305e-6	0.1299093655589124
Caulobacter	75	33	1.712872527715056e-6	0.09969788519637462
Acidovorax	12916	27	1.4014411590395913e-6	0.08157099697885196
Bradyrhizobium	374	22	1.141915018476704e-6	0.06646525679758308
Pseudomonas	286	20	1.0381045622515492e-6	0.06042296072507553
Alcaligenes	507	11	5.70957509238352e-7	0.03323262839879154
Brevundimonas	41275	10	5.190522811257746e-7	0.030211480362537766
Bosea	85413	9	4.671470530131971e-7	0.027190332326283987
Sphingomonas	13687	7	3.633365967880422e-7	0.021148036253776436
Acinetobacter	469	7	3.633365967880422e-7	0.021148036253776436
Rhizobium	379	6	3.1143136867546475e-7	0.01812688821752266
Sphingobium	165695	5	2.595261405628873e-7	0.015105740181268883
Burkholderia	32008	5	2.595261405628873e-7	0.015105740181268883
Serratia	613	5	2.595261405628873e-7	0.015105740181268883
Stenotrophomonas	40323	5	2.595261405628873e-7	0.015105740181268883
Dermacoccus	57495	5	2.595261405628873e-7	0.015105740181268883
Deinococcus	1298	5	2.595261405628873e-7	0.015105740181268883
Sphingopyxis	165697	4	2.0762091245030982e-7	0.012084592145015106
Delftia	80865	4	2.0762091245030982e-7	0.012084592145015106
Aquabacterium	92793	4	2.0762091245030982e-7	0.012084592145015106
Anaeromyxobacter	161492	4	2.0762091245030982e-7	0.012084592145015106
Corynebacterium	1716	4	2.0762091245030982e-7	0.012084592145015106
Mycobacterium	1763	4	2.0762091245030982e-7	0.012084592145015106
Novosphingobium	165696	3	1.5571568433773237e-7	0.00906344410876133
Hydrogenophaga	47420	3	1.5571568433773237e-7	0.00906344410876133
Comamonas	283	3	1.5571568433773237e-7	0.00906344410876133
Paludibacterium	400060	3	1.5571568433773237e-7	0.00906344410876133
Moraxella	475	3	1.5571568433773237e-7	0.00906344410876133
Klebsiella	570	3	1.5571568433773237e-7	0.00906344410876133
Rickettsiella	59195	3	1.5571568433773237e-7	0.00906344410876133
Micrococcus	1269	3	1.5571568433773237e-7	0.00906344410876133
Rhodococcus	1827	3	1.5571568433773237e-7	0.00906344410876133
Prauserella	142577	3	1.5571568433773237e-7	0.00906344410876133
Streptococcus	1301	3	1.5571568433773237e-7	0.00906344410876133
Lacticaseibacillus	2759736	3	1.5571568433773237e-7	0.00906344410876133
Staphylococcus	1279	3	1.5571568433773237e-7	0.00906344410876133
Clostridium	1485	3	1.5571568433773237e-7	0.00906344410876133
Aurantimonas	182269	2	1.0381045622515491e-7	0.006042296072507553
Croceicoccus	1295327	2	1.0381045622515491e-7	0.006042296072507553
Variovorax	34072	2	1.0381045622515491e-7	0.006042296072507553
Ramlibacter	174951	2	1.0381045622515491e-7	0.006042296072507553
Diaphorobacter	238749	2	1.0381045622515491e-7	0.006042296072507553
Cupriavidus	106589	2	1.0381045622515491e-7	0.006042296072507553
Neisseria	482	2	1.0381045622515491e-7	0.006042296072507553
Sulfurivermis	2034504	2	1.0381045622515491e-7	0.006042296072507553
Halomonas	2745	2	1.0381045622515491e-7	0.006042296072507553
Aeromonas	642	2	1.0381045622515491e-7	0.006042296072507553
Sandaracinus	1055688	2	1.0381045622515491e-7	0.006042296072507553
Yimella	908935	2	1.0381045622515491e-7	0.006042296072507553
Nocardia	1817	2	1.0381045622515491e-7	0.006042296072507553
Streptomyces	1883	2	1.0381045622515491e-7	0.006042296072507553
Kitasatospora	2063	2	1.0381045622515491e-7	0.006042296072507553
Polymorphospora	338583	2	1.0381045622515491e-7	0.006042296072507553
Jiangella	281472	2	1.0381045622515491e-7	0.006042296072507553
Baekduia	2600304	2	1.0381045622515491e-7	0.006042296072507553
Lactococcus	1357	2	1.0381045622515491e-7	0.006042296072507553
Sphingobacterium	28453	2	1.0381045622515491e-7	0.006042296072507553
