Taxon	TaxID	Fragments	PropTotal	PropNonHost
Pseudomonas	286	693	0.00011052631578947369	0.0685595567867036
Halomonas	2745	507	8.086124401913875e-5	0.050158290462999605
Streptomyces	1883	507	8.086124401913875e-5	0.050158290462999605
Pseudonocardia	1847	410	6.539074960127592e-5	0.040561931143648595
Acinetobacter	469	321	5.1196172248803825e-5	0.031757024139295605
Nocardiopsis	2013	311	4.960127591706539e-5	0.03076770874554808
Mesorhizobium	68287	287	4.577352472089314e-5	0.028393351800554016
Bradyrhizobium	374	254	4.05103668261563e-5	0.025128611001187177
Paracoccus	265	191	3.0462519936204148e-5	0.01889592402057776
Ralstonia	48736	177	2.8229665071770334e-5	0.01751088246933122
Comamonas	283	154	2.456140350877193e-5	0.015235457063711912
Nocardioides	1839	153	2.4401913875598086e-5	0.015136525524337158
Microbacterium	33882	140	2.2328548644338118e-5	0.013850415512465374
Sphingomonas	13687	115	1.8341307814992024e-5	0.011377127028096557
Amycolatopsis	1813	111	1.770334928229665e-5	0.010981400870597546
Rhizobium	379	110	1.7543859649122806e-5	0.010882469331222795
Delftia	80865	106	1.6905901116427433e-5	0.010486743173723783
Lysobacter	68	102	1.6267942583732056e-5	0.010091017016224772
Luteimonas	83614	98	1.5629984051036683e-5	0.009695290858725761
Acidovorax	12916	97	1.5470494417862838e-5	0.00959635931935101
Stenotrophomonas	40323	95	1.5151515151515151e-5	0.009398496240601503
Sphingobium	165695	84	1.3397129186602871e-5	0.008310249307479225
Egicoccus	1755825	77	1.2280701754385964e-5	0.007617728531855956
Brevundimonas	41275	75	1.1961722488038278e-5	0.00741986545310645
Mycolicibacterium	1866885	70	1.1164274322169059e-5	0.006925207756232687
Burkholderia	32008	66	1.0526315789473684e-5	0.0065294815987336765
Pseudolabrys	556257	62	9.88835725677831e-6	0.006133755441234665
Dietzia	37914	62	9.88835725677831e-6	0.006133755441234665
Devosia	46913	61	9.728867623604466e-6	0.006034823901859913
Mycobacterium	1763	60	9.569377990430622e-6	0.00593589236248516
Hyphomicrobium	81	59	9.409888357256778e-6	0.0058369608231104075
Betacoronavirus	694002	58	9.250398724082935e-6	0.005738029283735655
Aquibium	2911176	57	9.090909090909091e-6	0.005639097744360902
Cupriavidus	106589	57	9.090909090909091e-6	0.005639097744360902
Saccharopolyspora	1835	56	8.931419457735247e-6	0.00554016620498615
Shinella	323620	52	8.293460925039872e-6	0.0051444400474871385
Massilia	149698	52	8.293460925039872e-6	0.0051444400474871385
Micromonospora	1873	51	8.133971291866028e-6	0.005045508508112386
Xanthomonas	338	50	7.974481658692186e-6	0.004946576968737634
Cutibacterium	1912216	50	7.974481658692186e-6	0.004946576968737634
Methylobacterium	407	48	7.655502392344498e-6	0.004748713889988128
Rhodococcus	1827	47	7.4960127591706535e-6	0.004649782350613376
Pseudoxanthomonas	83618	46	7.33652312599681e-6	0.004550850811238623
Variovorax	34072	46	7.33652312599681e-6	0.004550850811238623
Agrobacterium	357	44	7.017543859649123e-6	0.004352987732489117
Paraburkholderia	1822464	44	7.017543859649123e-6	0.004352987732489117
Hydrogenophaga	47420	42	6.698564593301436e-6	0.004155124653739612
Achromobacter	222	41	6.5390749601275915e-6	0.004056193114364859
Cellulomonas	1707	41	6.5390749601275915e-6	0.004056193114364859
Nocardia	1817	40	6.379585326953748e-6	0.003957261574990107
Propionibacterium	1743	40	6.379585326953748e-6	0.003957261574990107
Phreatobacter	1632780	38	6.060606060606061e-6	0.0037593984962406013
Bordetella	517	38	6.060606060606061e-6	0.0037593984962406013
Prauserella	142577	38	6.060606060606061e-6	0.0037593984962406013
Rhodopseudomonas	1073	37	5.901116427432217e-6	0.003660466956865849
Aminobacter	31988	36	5.741626794258373e-6	0.003561535417491096
Corynebacterium	1716	36	5.741626794258373e-6	0.003561535417491096
Sulfurifustis	1692042	35	5.5821371610845296e-6	0.0034626038781163434
Thauera	33057	35	5.5821371610845296e-6	0.0034626038781163434
Aureimonas	414371	34	5.4226475279106855e-6	0.0033636723387415906
Arthrobacter	1663	34	5.4226475279106855e-6	0.0033636723387415906
Methylorubrum	2282523	33	5.263157894736842e-6	0.0032647407993668383
Azospirillum	191	33	5.263157894736842e-6	0.0032647407993668383
Escherichia	561	33	5.263157894736842e-6	0.0032647407993668383
Nitratireductor	245876	31	4.944178628389155e-6	0.0030668777206173327
Bosea	85413	31	4.944178628389155e-6	0.0030668777206173327
Blastochloris	59282	31	4.944178628389155e-6	0.0030668777206173327
Aeromicrobium	2040	31	4.944178628389155e-6	0.0030668777206173327
Sphingopyxis	165697	30	4.784688995215311e-6	0.00296794618124258
Ornithinimicrobium	125287	30	4.784688995215311e-6	0.00296794618124258
Starkeya	152053	28	4.4657097288676235e-6	0.002770083102493075
Novosphingobium	165696	27	4.30622009569378e-6	0.002671151563118322
Rhodoplanes	29407	26	4.146730462519936e-6	0.0025722200237435692
Roseomonas	125216	26	4.146730462519936e-6	0.0025722200237435692
Kocuria	57493	26	4.146730462519936e-6	0.0025722200237435692
Pseudorhodoplanes	1734920	24	3.827751196172249e-6	0.002374356944994064
Brucella	234	24	3.827751196172249e-6	0.002374356944994064
Gordonia	2053	24	3.827751196172249e-6	0.002374356944994064
Actinoplanes	1865	24	3.827751196172249e-6	0.002374356944994064
Neorhizobium	1525371	23	3.668261562998405e-6	0.0022754254056193113
Diaphorobacter	238749	23	3.668261562998405e-6	0.0022754254056193113
Saccharothrix	2071	23	3.668261562998405e-6	0.0022754254056193113
Glutamicibacter	1742989	23	3.668261562998405e-6	0.0022754254056193113
Sinorhizobium	28105	22	3.5087719298245615e-6	0.0021764938662445586
Aurantimonas	182269	22	3.5087719298245615e-6	0.0021764938662445586
Thermomonas	141948	22	3.5087719298245615e-6	0.0021764938662445586
Rhodoferax	28065	22	3.5087719298245615e-6	0.0021764938662445586
Ramlibacter	174951	22	3.5087719298245615e-6	0.0021764938662445586
Microcella	337004	22	3.5087719298245615e-6	0.0021764938662445586
Caulobacter	75	21	3.349282296650718e-6	0.002077562326869806
Thermobifida	83677	21	3.349282296650718e-6	0.002077562326869806
Actinomarinicola	2789775	21	3.349282296650718e-6	0.002077562326869806
Pannonibacter	227873	20	3.189792663476874e-6	0.0019786307874950534
Halopseudomonas	2901189	20	3.189792663476874e-6	0.0019786307874950534
Sulfuricaulis	1744881	20	3.189792663476874e-6	0.0019786307874950534
Caballeronia	1827195	20	3.189792663476874e-6	0.0019786307874950534
Alcaligenes	507	20	3.189792663476874e-6	0.0019786307874950534
Georhizobium	2661800	19	3.0303030303030305e-6	0.0018796992481203006
Methylocystis	133	19	3.0303030303030305e-6	0.0018796992481203006
Cereibacter	1653176	19	3.0303030303030305e-6	0.0018796992481203006
Frigidibacter	1775705	19	3.0303030303030305e-6	0.0018796992481203006
Skermanella	204447	19	3.0303030303030305e-6	0.0018796992481203006
Agromyces	33877	19	3.0303030303030305e-6	0.0018796992481203006
Aquihabitans	1648491	18	2.8708133971291864e-6	0.001780767708745548
Xanthobacter	279	17	2.7113237639553427e-6	0.0016818361693707953
Aromatoleum	551759	17	2.7113237639553427e-6	0.0016818361693707953
Saccharomonospora	1851	17	2.7113237639553427e-6	0.0016818361693707953
Micrococcus	1269	16	2.551834130781499e-6	0.0015829046299960427
Ensifer	106591	15	2.3923444976076554e-6	0.00148397309062129
Ancylobacter	99	15	2.3923444976076554e-6	0.00148397309062129
Magnetospirillum	13134	15	2.3923444976076554e-6	0.00148397309062129
Phenylobacterium	20	15	2.3923444976076554e-6	0.00148397309062129
Polaromonas	52972	15	2.3923444976076554e-6	0.00148397309062129
Azoarcus	12960	15	2.3923444976076554e-6	0.00148397309062129
Pseudarthrobacter	1742993	15	2.3923444976076554e-6	0.00148397309062129
Brachybacterium	43668	15	2.3923444976076554e-6	0.00148397309062129
Georgenia	154116	15	2.3923444976076554e-6	0.00148397309062129
Nonomuraea	83681	15	2.3923444976076554e-6	0.00148397309062129
Actinomadura	1988	15	2.3923444976076554e-6	0.00148397309062129
Jiangella	281472	15	2.3923444976076554e-6	0.00148397309062129
