Taxon	TaxID	Fragments	PropTotal	PropNonHost
Comamonas	283	352	8.734491315136477e-5	0.08545763534838553
Pseudomonas	286	330	8.188585607940446e-5	0.08011653313911143
Acidovorax	12916	260	6.451612903225807e-5	0.06312211701869386
Acinetobacter	469	230	5.707196029776675e-5	0.05583879582422918
Streptomyces	1883	193	4.7890818858560796e-5	0.046856033017722745
Pseudonocardia	1847	144	3.573200992555831e-5	0.03495994173343044
Nocardiopsis	2013	108	2.6799007444168734e-5	0.026219956300072834
Mesorhizobium	68287	104	2.5806451612903226e-5	0.02524884680747754
Sphingomonas	13687	96	2.382133995037221e-5	0.023306627822286964
Bradyrhizobium	374	82	2.034739454094293e-5	0.019907744598203447
Halomonas	2745	61	1.5136476426799007e-5	0.014809419762078174
Bosea	85413	52	1.2903225806451613e-5	0.01262442340373877
Sphingobium	165695	48	1.1910669975186104e-5	0.011653313911143482
Nocardioides	1839	47	1.1662531017369727e-5	0.011410536537994658
Luteimonas	83614	44	1.0918114143920596e-5	0.010682204418548192
Blastomonas	150203	43	1.0669975186104219e-5	0.01043942704539937
Paracoccus	265	43	1.0669975186104219e-5	0.01043942704539937
Variovorax	34072	41	1.0173697270471465e-5	0.009953872299101723
Rhizobium	379	35	8.6848635235732e-6	0.008497208060208788
Aquibium	2911176	34	8.436724565756823e-6	0.008254430687059966
Aminobacter	31988	33	8.188585607940446e-6	0.008011653313911144
Bacillus	1386	32	7.940446650124069e-6	0.007768875940762321
Cellulomonas	1707	31	7.692307692307692e-6	0.007526098567613498
Agrobacterium	357	30	7.444168734491315e-6	0.007283321194464676
Hyphomicrobium	81	29	7.196029776674938e-6	0.007040543821315854
Lysobacter	68	28	6.947890818858561e-6	0.006797766448167031
Hydrogenophaga	47420	28	6.947890818858561e-6	0.006797766448167031
Mycobacterium	1763	28	6.947890818858561e-6	0.006797766448167031
Microbacterium	33882	27	6.6997518610421835e-6	0.0065549890750182084
Stenotrophomonas	40323	26	6.451612903225806e-6	0.006312211701869385
Ralstonia	48736	26	6.451612903225806e-6	0.006312211701869385
Brevundimonas	41275	25	6.203473945409429e-6	0.006069434328720563
Rhodopseudomonas	1073	24	5.955334987593052e-6	0.005826656955571741
Amycolatopsis	1813	23	5.707196029776675e-6	0.005583879582422918
Cutibacterium	1912216	23	5.707196029776675e-6	0.005583879582422918
Massilia	149698	22	5.459057071960298e-6	0.005341102209274096
Nocardia	1817	22	5.459057071960298e-6	0.005341102209274096
Xanthomonas	338	21	5.210918114143921e-6	0.005098324836125273
Prauserella	142577	21	5.210918114143921e-6	0.005098324836125273
Devosia	46913	20	4.962779156327544e-6	0.004855547462976451
Methylobacterium	407	20	4.962779156327544e-6	0.004855547462976451
Sphingopyxis	165697	20	4.962779156327544e-6	0.004855547462976451
Diaphorobacter	238749	20	4.962779156327544e-6	0.004855547462976451
Burkholderia	32008	19	4.714640198511167e-6	0.004612770089827628
