Taxon	TaxID	Fragments	PropTotal	PropNonHost
Actinobacteria	201174	492	9.97971602434077e-5	0.4530386740331492
Proteobacteria	1224	425	8.620689655172413e-5	0.39134438305709024
Firmicutes	1239	100	2.0283975659229208e-5	0.09208103130755065
Bacteroidetes	976	49	9.939148073022313e-6	0.04511970534069982
Deinococcus-Thermus	1297	6	1.2170385395537525e-6	0.0055248618784530384
Cyanobacteria	1117	4	8.113590263691684e-7	0.003683241252302026
Acidobacteria	57723	3	6.085192697768763e-7	0.0027624309392265192
Euryarchaeota	28890	3	6.085192697768763e-7	0.0027624309392265192
Verrucomicrobia	74201	2	4.056795131845842e-7	0.001841620626151013
Planctomycetes	203682	2	4.056795131845842e-7	0.001841620626151013
