Taxon	TaxID	Fragments	PropTotal	PropNonHost
Proteobacteria	1224	1765	0.0004401496259351621	0.7329734219269103
Actinobacteria	201174	522	0.00013017456359102245	0.21677740863787376
Firmicutes	1239	54	1.3466334164588529e-5	0.022425249169435217
Duplornaviricota	2732405	19	4.738154613466334e-6	0.007890365448504983
Pisuviricota	2732408	13	3.2418952618453866e-6	0.005398671096345515
Deinococcus-Thermus	1297	10	2.4937655860349126e-6	0.004152823920265781
Planctomycetes	203682	8	1.99501246882793e-6	0.0033222591362126247
Uroviricota	2731618	7	1.7456359102244388e-6	0.0029069767441860465
Acidobacteria	57723	4	9.97506234413965e-7	0.0016611295681063123
Preplasmiviricota	2732008	4	9.97506234413965e-7	0.0016611295681063123
Cyanobacteria	1117	2	4.987531172069825e-7	0.0008305647840531562
