Taxon	TaxID	Fragments	PropTotal	PropNonHost
Proteobacteria	1224	2743	0.00038907801418439715	0.6410376256134611
Actinobacteria	201174	1197	0.00016978723404255318	0.2797382566020098
Pisuviricota	2732408	151	2.1418439716312058e-5	0.03528861883617668
Firmicutes	1239	85	1.2056737588652483e-5	0.019864454311755084
Bacteroidetes	976	28	3.971631205673759e-6	0.006543584949754616
Planctomycetes	203682	16	2.269503546099291e-6	0.0037391913998597805
Acidobacteria	57723	12	1.7021276595744682e-6	0.002804393549894835
Euryarchaeota	28890	12	1.7021276595744682e-6	0.002804393549894835
Deinococcus-Thermus	1297	10	1.4184397163120568e-6	0.0023369946249123625
Cyanobacteria	1117	9	1.276595744680851e-6	0.0021032951624211263
Duplornaviricota	2732405	6	8.510638297872341e-7	0.0014021967749474175
Gemmatimonadetes	142182	4	5.673758865248227e-7	0.0009347978499649451
Thaumarchaeota	651137	4	5.673758865248227e-7	0.0009347978499649451
Spirochaetes	203691	2	2.8368794326241136e-7	0.00046739892498247256
