Taxon	TaxID	Fragments	PropTotal	PropNonHost
Proteobacteria	1224	6980	0.0010721857504977677	0.7740075404746063
Actinobacteria	201174	1796	0.00027588045958366626	0.19915724107340874
Firmicutes	1239	112	1.7204126655551573e-5	0.012419605233976491
Bacteroidetes	976	56	8.602063327775786e-6	0.006209802616988246
Planctomycetes	203682	31	4.761856485018739e-6	0.003437569305832779
Euryarchaeota	28890	15	2.3041241056542285e-6	0.00166333998669328
Cyanobacteria	1117	6	9.216496422616913e-7	0.0006653359946773121
Deinococcus-Thermus	1297	5	7.680413685514095e-7	0.0005544466622310934
Acidobacteria	57723	5	7.680413685514095e-7	0.0005544466622310934
Chloroflexi	200795	3	4.6082482113084566e-7	0.00033266799733865603
Gemmatimonadetes	142182	3	4.6082482113084566e-7	0.00033266799733865603
Thermodesulfobacteria	200940	2	3.072165474205638e-7	0.00022177866489243733
Crenarchaeota	28889	2	3.072165474205638e-7	0.00022177866489243733
Peploviricota	2731361	2	3.072165474205638e-7	0.00022177866489243733
