Taxon	TaxID	Fragments	PropTotal	PropNonHost
Homo sapiens	9606	645	0.0002748376540369177	0.3272450532724505
Pseudomonas aeruginosa	287	79	3.3662286308397675e-5	0.040081177067478435
Stenotrophomonas maltophilia	40324	72	3.067955207853965e-5	0.0365296803652968
Pseudomonas sp. I3-I5	2926671	66	2.8122922738661348e-5	0.0334855403348554
Cutibacterium acnes	1747	57	2.428797872884389e-5	0.0289193302891933
Acinetobacter johnsonii	40214	25	1.0652622249492935e-5	0.012683916793505834
Acidovorax sp. T1	1858609	25	1.0652622249492935e-5	0.012683916793505834
Brevundimonas diminuta	293	24	1.0226517359513218e-5	0.0121765601217656
Acinetobacter lwoffii	28090	23	9.8004124695335e-6	0.011669203450025367
Lacticaseibacillus paracasei	1597	21	8.948202689574065e-6	0.0106544901065449
Comamonas thiooxydans	363952	20	8.522097799594348e-6	0.010147133434804667
Pseudomonas putida	303	19	8.095992909614631e-6	0.009639776763064434
Variovorax paradoxus	34073	18	7.669888019634913e-6	0.0091324200913242
Micrococcus luteus	1270	18	7.669888019634913e-6	0.0091324200913242
Brevundimonas nasdae	172043	17	7.243783129655196e-6	0.008625063419583967
Streptomyces fagopyri	2662397	17	7.243783129655196e-6	0.008625063419583967
Agrobacterium tumefaciens	358	16	6.817678239675479e-6	0.008117706747843734
Brevundimonas vancanneytii	1325724	16	6.817678239675479e-6	0.008117706747843734
Caulobacter sp. FWC26	69665	16	6.817678239675479e-6	0.008117706747843734
Pseudomonas fluorescens	294	14	5.9654684597160435e-6	0.007102993404363267
Alcaligenes faecalis	511	14	5.9654684597160435e-6	0.007102993404363267
Pseudomonas sp. NS1(2017)	2025658	13	5.539363569736326e-6	0.006595636732623034
Lactococcus lactis	1358	13	5.539363569736326e-6	0.006595636732623034
Shinella sp. H4-D48	2925841	12	5.113258679756609e-6	0.0060882800608828
Mesorhizobium sp. Pch-S	2082387	12	5.113258679756609e-6	0.0060882800608828
Achromobacter xylosoxidans	85698	12	5.113258679756609e-6	0.0060882800608828
Pseudonocardia sp. CGMCC 4.1532	2761535	12	5.113258679756609e-6	0.0060882800608828
Variovorax sp. PAMC26660	2762322	11	4.687153789776892e-6	0.005580923389142567
Acidovorax carolinensis	553814	11	4.687153789776892e-6	0.005580923389142567
Comamonas testosteroni	285	10	4.261048899797174e-6	0.0050735667174023336
Providencia stuartii	588	9	3.8349440098174565e-6	0.0045662100456621
Bradyrhizobium diazoefficiens	1355477	9	3.8349440098174565e-6	0.0045662100456621
Janthinobacterium sp. PAMC25594	2861284	9	3.8349440098174565e-6	0.0045662100456621
Aquabacterium olei	1296669	9	3.8349440098174565e-6	0.0045662100456621
Microbacterium sp. PM5	2014534	9	3.8349440098174565e-6	0.0045662100456621
Rhodococcus sp. 21391	2683591	9	3.8349440098174565e-6	0.0045662100456621
Aerococcus urinaeequi	51665	9	3.8349440098174565e-6	0.0045662100456621
Acidovorax avenae	80867	8	3.4088391198377393e-6	0.004058853373921867
Bordetella genomosp. 13	463040	8	3.4088391198377393e-6	0.004058853373921867
Pseudonocardia autotrophica	2074	8	3.4088391198377393e-6	0.004058853373921867
Actinosynnema pretiosum	42197	8	3.4088391198377393e-6	0.004058853373921867
Prevotella melaninogenica	28132	8	3.4088391198377393e-6	0.004058853373921867
Bosea sp. F3-2	2599640	7	2.9827342298580217e-6	0.0035514967021816335
Pseudolabrys taiwanensis	331696	7	2.9827342298580217e-6	0.0035514967021816335
Rhodoferax sp. BAB1	2741720	7	2.9827342298580217e-6	0.0035514967021816335
Brevibacterium luteolum	199591	7	2.9827342298580217e-6	0.0035514967021816335
Nocardiopsis alba	53437	7	2.9827342298580217e-6	0.0035514967021816335
Serratia marcescens	615	6	2.5566293398783046e-6	0.0030441400304414
Sinorhizobium fredii	380	6	2.5566293398783046e-6	0.0030441400304414
