Taxon	TaxID	Fragments	PropTotal	PropNonHost
Homo sapiens	9606	8756	0.0013617418351477449	0.9347710045905839
Comamonas aquatica	225991	121	1.8818040435458786e-5	0.01291768976193018
Severe acute respiratory syndrome-related coronavirus	694009	88	1.3685847589424572e-5	0.00939468346322195
Acidovorax sp. T1	1858609	37	5.754276827371695e-6	0.00395003736521832
Pseudomonas stutzeri	316	23	3.576982892690513e-6	0.0024554286324330096
Acinetobacter lwoffii	28090	18	2.7993779160186624e-6	0.0019216397992953987
Pseudonocardia sp. AL041005-10	445576	18	2.7993779160186624e-6	0.0019216397992953987
Streptomyces sp. Tu 2975	2676871	16	2.488335925349922e-6	0.0017081242660403543
Sphingomonas melonis	152682	15	2.332814930015552e-6	0.0016013664994128324
Acinetobacter junii	40215	12	1.8662519440124416e-6	0.0012810931995302659
Pseudomonas kunmingensis	1211807	11	1.7107309486780715e-6	0.0011743354329027437
Lactococcus lactis	1358	11	1.7107309486780715e-6	0.0011743354329027437
Acinetobacter indicus	756892	10	1.5552099533437014e-6	0.0010675776662752215
Nocardiopsis sp. MT53	2865672	10	1.5552099533437014e-6	0.0010675776662752215
Pseudonocardia sp. HH130629-09	1641402	9	1.3996889580093312e-6	0.0009608198996476993
Actinoplanes teichomyceticus	1867	9	1.3996889580093312e-6	0.0009608198996476993
Blastomonas sp. RAC04	1842535	8	1.244167962674961e-6	0.0008540621330201772
Cutibacterium acnes	1747	8	1.244167962674961e-6	0.0008540621330201772
Blastomonas fulva	1550728	7	1.088646967340591e-6	0.0007473043663926551
Sphingobium sp. SYK-6	627192	6	9.331259720062208e-7	0.0006405465997651329
Sphingobium sp. YG1	2082188	6	9.331259720062208e-7	0.0006405465997651329
Parasphingopyxis algicola	2026624	6	9.331259720062208e-7	0.0006405465997651329
Pseudolabrys taiwanensis	331696	6	9.331259720062208e-7	0.0006405465997651329
Mycobacterium canettii	78331	6	9.331259720062208e-7	0.0006405465997651329
Nocardiopsis alba	53437	6	9.331259720062208e-7	0.0006405465997651329
Bradyrhizobium arachidis	858423	5	7.776049766718507e-7	0.0005337888331376108
Variovorax paradoxus	34073	5	7.776049766718507e-7	0.0005337888331376108
Pseudomonas sp. MTM4	2705472	5	7.776049766718507e-7	0.0005337888331376108
Pseudomonas otitidis	319939	5	7.776049766718507e-7	0.0005337888331376108
Lysobacter sp. CW239	2762611	5	7.776049766718507e-7	0.0005337888331376108
Thermomonas aquatica	2202149	5	7.776049766718507e-7	0.0005337888331376108
Klebsiella aerogenes	548	5	7.776049766718507e-7	0.0005337888331376108
Microbacterium sediminis	904291	5	7.776049766718507e-7	0.0005337888331376108
Nocardioides baekrokdamisoli	1804624	5	7.776049766718507e-7	0.0005337888331376108
Flavobacterium sp. F-29	2893883	5	7.776049766718507e-7	0.0005337888331376108
Xanthobacter dioxanivorans	2528964	4	6.220839813374805e-7	0.0004270310665100886
Pseudorhodoplanes sinuspersici	1235591	4	6.220839813374805e-7	0.0004270310665100886
Bosea sp. RAC05	1842539	4	6.220839813374805e-7	0.0004270310665100886
Rhizobacter gummiphilus	946333	4	6.220839813374805e-7	0.0004270310665100886
Pseudomonas wenzhouensis	2906062	4	6.220839813374805e-7	0.0004270310665100886
Mycobacterium intracellulare	1767	4	6.220839813374805e-7	0.0004270310665100886
Mycolicibacterium neoaurum	1795	4	6.220839813374805e-7	0.0004270310665100886
Corynebacterium variabile	1727	4	6.220839813374805e-7	0.0004270310665100886
Georhizobium profundi	2341112	3	4.665629860031104e-7	0.00032027329988256647
Pikeienuella piscinae	2748098	3	4.665629860031104e-7	0.00032027329988256647
Acidovorax carolinensis	553814	3	4.665629860031104e-7	0.00032027329988256647
Kinneretia sp. XES5	2877940	3	4.665629860031104e-7	0.00032027329988256647
Diaphorobacter aerolatus	1288495	3	4.665629860031104e-7	0.00032027329988256647
Sphaerotilus natans	34103	3	4.665629860031104e-7	0.00032027329988256647
Azoarcus olearius	418699	3	4.665629860031104e-7	0.00032027329988256647
Dyella thiooxydans	445710	3	4.665629860031104e-7	0.00032027329988256647
Kurthia sp. 11kri321	1750719	3	4.665629860031104e-7	0.00032027329988256647
Thermus thermophilus	274	3	4.665629860031104e-7	0.00032027329988256647
Novosphingobium sp. Sx8-5	2896849	2	3.1104199066874027e-7	0.0002135155332550443
Sphingosinicella microcystinivorans	335406	2	3.1104199066874027e-7	0.0002135155332550443
Polymorphum gilvum	991904	2	3.1104199066874027e-7	0.0002135155332550443
Salipiger profundus	1229727	2	3.1104199066874027e-7	0.0002135155332550443
Roseivivax marinus	1379903	2	3.1104199066874027e-7	0.0002135155332550443
Celeribacter indicus	1208324	2	3.1104199066874027e-7	0.0002135155332550443
Rhizobacter sp. AJA081-3	2753607	2	3.1104199066874027e-7	0.0002135155332550443
Aquabacterium olei	1296669	2	3.1104199066874027e-7	0.0002135155332550443
Methylomagnum ishizawai	1760988	2	3.1104199066874027e-7	0.0002135155332550443
Sorangium cellulosum	56	2	3.1104199066874027e-7	0.0002135155332550443
Curtobacterium luteum	33881	2	3.1104199066874027e-7	0.0002135155332550443
Brevibacterium sp. HY170	2898795	2	3.1104199066874027e-7	0.0002135155332550443
Spiractinospora alimapuensis	2820884	2	3.1104199066874027e-7	0.0002135155332550443
Nanchangia anserum	2692125	2	3.1104199066874027e-7	0.0002135155332550443
Adlercreutzia equolifaciens	446660	2	3.1104199066874027e-7	0.0002135155332550443
Truepera radiovictrix	332249	2	3.1104199066874027e-7	0.0002135155332550443
