Taxon	TaxID	Fragments	PropTotal	PropNonHost
Homo sapiens	9606	4513	0.0008831702544031311	0.9531151003167898
Delftia sp. WY8	2708352	80	1.5655577299412916e-5	0.01689545934530095
Cutibacterium acnes	1747	45	8.806262230919765e-6	0.009503695881731784
Ralstonia insidiosa	190721	27	5.283757338551859e-6	0.005702217529039071
Pseudomonas aeruginosa	287	14	2.7397260273972604e-6	0.0029567053854276664
Shinella zoogloeoides	352475	9	1.761252446183953e-6	0.0019007391763463568
Alcaligenes faecalis	511	7	1.3698630136986302e-6	0.0014783526927138332
Pseudomonas stutzeri	316	5	9.784735812133073e-7	0.0010559662090813093
Azoarcus sp. DD4	2027405	4	7.827788649706458e-7	0.0008447729672650475
Mesorhizobium amorphae	71433	4	7.827788649706458e-7	0.0008447729672650475
Ralstonia mannitolilytica	105219	3	5.870841487279843e-7	0.0006335797254487857
Paraburkholderia fungorum	134537	3	5.870841487279843e-7	0.0006335797254487857
Pseudomonas mediterranea	183795	3	5.870841487279843e-7	0.0006335797254487857
Acinetobacter soli	487316	3	5.870841487279843e-7	0.0006335797254487857
Kaistia sp. 32K	2795690	3	5.870841487279843e-7	0.0006335797254487857
Serpentinimonas maccroryi	1458426	2	3.913894324853229e-7	0.00042238648363252375
Pseudomonas nanhaiensis	2830842	2	3.913894324853229e-7	0.00042238648363252375
Nocardioides sp. TF02-7	2917724	2	3.913894324853229e-7	0.00042238648363252375
Brevibacterium sp. CS2	2575923	2	3.913894324853229e-7	0.00042238648363252375
Corynebacterium tuberculostearicum	38304	2	3.913894324853229e-7	0.00042238648363252375
Staphylococcus capitis	29388	2	3.913894324853229e-7	0.00042238648363252375
