Taxon	TaxID	Fragments	PropTotal	PropNonHost
Homo sapiens	9606	2253	0.0006911042944785276	0.10233001771358495
Pseudomonas stutzeri	316	875	0.00026840490797546015	0.03974201753190716
Pseudomonas aeruginosa	287	398	0.00012208588957055214	0.01807694054594177
Acinetobacter lwoffii	28090	346	0.00010613496932515337	0.01571512921833129
Comamonas aquatica	225991	261	8.006134969325153e-5	0.011854476086660308
Pseudonocardia autotrophica	2074	231	7.085889570552148e-5	0.010491892628423491
Nocardiopsis alba	53437	228	6.993865030674847e-5	0.010355634282599809
Nocardiopsis sp. MT53	2865672	185	5.674846625766871e-5	0.008402597992460372
Pseudonocardia sp. AL041005-10	445576	169	5.1840490797546015e-5	0.007675886814734069
Prauserella marina	530584	150	4.601226993865031e-5	0.0068129172911840855
Pseudomonas putida	303	146	4.478527607361963e-5	0.0066312394967525095
Nocardiopsis dassonvillei	2014	145	4.4478527607361964e-5	0.006585820048144616
Hyphomicrobium nitrativorans	1427356	133	4.079754601226994e-5	0.006040786664849889
Halomonas sp. NyZ770	2883106	133	4.079754601226994e-5	0.006040786664849889
Egicoccus halophilus	1670830	129	3.957055214723926e-5	0.005859108870418313
Pseudonocardia sp. HH130630-07	1690815	124	3.8036809815950924e-5	0.0056320116273788435
Halomonas hydrothermalis	115561	113	3.4662576687116566e-5	0.005132397692692011
Acidovorax sp. T1	1858609	111	3.4049079754601224e-5	0.005041558795476223
Streptomyces albidoflavus	1886	111	3.4049079754601224e-5	0.005041558795476223
Acinetobacter baumannii	470	108	3.312883435582822e-5	0.004905300449652541
Stenotrophomonas maltophilia	40324	94	2.883435582822086e-5	0.004269428169142026
Ralstonia insidiosa	190721	90	2.7607361963190183e-5	0.004087750374710451
Agrobacterium tumefaciens	358	88	2.6993865030674848e-5	0.003996911477494663
Nocardiopsis sp. HDS12	2831968	77	2.361963190184049e-5	0.0034972975428078303
Paracoccus marcusii	59779	72	2.208588957055215e-5	0.0032702002997683608
Pseudonocardia sp. CGMCC 4.1532	2761535	70	2.147239263803681e-5	0.003179361402552573
Pseudonocardia broussonetiae	2736640	70	2.147239263803681e-5	0.003179361402552573
Streptomyces sp. S1D4-14	2594461	67	2.0552147239263803e-5	0.0030431030567288912
Rhodopseudomonas palustris	1076	65	1.9938650306748465e-5	0.0029522641595131037
Acinetobacter schindleri	108981	65	1.9938650306748465e-5	0.0029522641595131037
Pseudonocardia sp. HH130629-09	1641402	65	1.9938650306748465e-5	0.0029522641595131037
Acinetobacter nosocomialis	106654	63	1.932515337423313e-5	0.0028614252622973157
Sphingobium yanoikuyae	13690	60	1.8404907975460123e-5	0.002725166916473634
Pseudomonas sp. CIP-10	2892442	59	1.8098159509202455e-5	0.00267974746786574
Acinetobacter seifertii	1530123	59	1.8098159509202455e-5	0.00267974746786574
Aquibium microcysteis	675281	58	1.7791411042944784e-5	0.002634328019257846
Rhodoplanes sp. Z2-YC6860	674703	58	1.7791411042944784e-5	0.002634328019257846
Paracoccus sp. Arc7-R13	2500532	58	1.7791411042944784e-5	0.002634328019257846
Nitratireductor sp. SY7	2599600	56	1.717791411042945e-5	0.0025434891220420582
Sulfurifustis variabilis	1675686	56	1.717791411042945e-5	0.0025434891220420582
Pseudonocardia sp. DSM 110487	2865833	56	1.717791411042945e-5	0.0025434891220420582
Microbacterium chocolatum	84292	54	1.656441717791411e-5	0.0024526502248262707
Brevundimonas diminuta	293	53	1.6257668711656443e-5	0.0024072307762183767
Mesorhizobium loti	381	52	1.5950920245398772e-5	0.0023618113276104827
Pseudonocardia abyssalis	2792008	52	1.5950920245398772e-5	0.0023618113276104827
Aminobacter sp. SR38	2774562	50	1.5337423312883436e-5	0.002270972430394695
Acinetobacter junii	40215	50	1.5337423312883436e-5	0.002270972430394695
Aquibium oceanicum	1670800	49	1.5030674846625767e-5	0.002225552981786801
Micrococcus luteus	1270	49	1.5030674846625767e-5	0.002225552981786801
Luteimonas sp. YGD11-2	2508168	48	1.4723926380368098e-5	0.002180133533178907
Pannonibacter phragmitetus	121719	46	1.411042944785276e-5	0.002089294635963119
Sphingomonas melonis	152682	46	1.411042944785276e-5	0.002089294635963119
Stenotrophomonas acidaminiphila	128780	46	1.411042944785276e-5	0.002089294635963119
Escherichia coli	562	46	1.411042944785276e-5	0.002089294635963119
Georhizobium profundi	2341112	44	1.3496932515337424e-5	0.0019984557387473316
Bradyrhizobium diazoefficiens	1355477	44	1.3496932515337424e-5	0.0019984557387473316
Spiractinospora alimapuensis	2820884	44	1.3496932515337424e-5	0.0019984557387473316
Mesorhizobium huakuii	28104	43	1.3190184049079754e-5	0.0019530362901394377
Blastochloris tepida	2233851	43	1.3190184049079754e-5	0.0019530362901394377
Pseudolabrys sp. FHR47	2562284	42	1.2883435582822085e-5	0.0019076168415315439
Variovorax paradoxus	34073	42	1.2883435582822085e-5	0.0019076168415315439
Streptomyces mirabilis	68239	42	1.2883435582822085e-5	0.0019076168415315439
Dietzia psychralcaliphila	139021	42	1.2883435582822085e-5	0.0019076168415315439
Xanthomonas translucens	343	41	1.2576687116564418e-5	0.00186219739292365
Iamia sp. SCSIO 61187	2722752	41	1.2576687116564418e-5	0.00186219739292365
Actinomarinicola tropica	2789776	41	1.2576687116564418e-5	0.00186219739292365
Halomonas tianxiuensis	2497861	40	1.2269938650306748e-5	0.001816777944315756
Pseudonocardia dioxanivorans	240495	40	1.2269938650306748e-5	0.001816777944315756
Neorhizobium galegae	399	39	1.196319018404908e-5	0.0017713584957078621
Pelagibacterium halotolerans	531813	39	1.196319018404908e-5	0.0017713584957078621
Paracoccus yeei	147645	38	1.1656441717791411e-5	0.0017259390470999681
Thermomonas aquatica	2202149	38	1.1656441717791411e-5	0.0017259390470999681
Lacticaseibacillus paracasei	1597	38	1.1656441717791411e-5	0.0017259390470999681
Pseudorhizobium banfieldiae	1125847	37	1.1349693251533742e-5	0.0016805195984920744
Pseudolabrys taiwanensis	331696	37	1.1349693251533742e-5	0.0016805195984920744
Pseudorhodoplanes sinuspersici	1235591	37	1.1349693251533742e-5	0.0016805195984920744
Luteimonas granuli	1176533	37	1.1349693251533742e-5	0.0016805195984920744
Luteimonas sp. S4-F44	2925842	35	1.0736196319018405e-5	0.0015896807012762866
Shinella zoogloeoides	352475	34	1.0429447852760736e-5	0.0015442612526683926
Brucella anthropi	529	34	1.0429447852760736e-5	0.0015442612526683926
Halomonas sp. 18071143	2855441	34	1.0429447852760736e-5	0.0015442612526683926
Achromobacter xylosoxidans	85698	34	1.0429447852760736e-5	0.0015442612526683926
Saccharopolyspora erythraea	1836	34	1.0429447852760736e-5	0.0015442612526683926
Microbacterium sp. PAMC22086	2861281	34	1.0429447852760736e-5	0.0015442612526683926
Thermobifida alba	53522	34	1.0429447852760736e-5	0.0015442612526683926
Halalkalibacterium halodurans	86665	34	1.0429447852760736e-5	0.0015442612526683926
Rhizobium leguminosarum	384	33	1.0122699386503068e-5	0.0014988418040604986
Luteimonas sp. D4P002	2901869	33	1.0122699386503068e-5	0.0014988418040604986
Pseudoxanthomonas suwonensis	314722	33	1.0122699386503068e-5	0.0014988418040604986
Rhizobium rosettiformans	1368430	32	9.815950920245399e-6	0.0014534223554526049
Acinetobacter sp. WY4	2708348	32	9.815950920245399e-6	0.0014534223554526049
Saccharopolyspora gregorii	33914	32	9.815950920245399e-6	0.0014534223554526049
Streptomyces venezuelae	54571	32	9.815950920245399e-6	0.0014534223554526049
Brevundimonas sp. MF30-B	2561924	31	9.509202453987731e-6	0.0014080029068447109
Lysobacter enzymogenes	69	31	9.509202453987731e-6	0.0014080029068447109
Acinetobacter indicus	756892	31	9.509202453987731e-6	0.0014080029068447109
Acinetobacter johnsonii	40214	31	9.509202453987731e-6	0.0014080029068447109
Glutamicibacter sp. ZJUTW	1155384	31	9.509202453987731e-6	0.0014080029068447109
Mesorhizobium sp. L-8-3	2744522	30	9.202453987730062e-6	0.001362583458236817
Pseudoxanthomonas sp. X-1	2571115	30	9.202453987730062e-6	0.001362583458236817
Sulfuricaulis limicola	1620215	30	9.202453987730062e-6	0.001362583458236817
Acidovorax antarcticus	2743470	30	9.202453987730062e-6	0.001362583458236817
Ralstonia solanacearum	305	30	9.202453987730062e-6	0.001362583458236817
Aeromicrobium erythreum	2041	30	9.202453987730062e-6	0.001362583458236817
Saccharothrix syringae	103733	29	8.895705521472392e-6	0.001317164009628923
Aminobacter aminovorans	83263	28	8.588957055214725e-6	0.0012717445610210291
Oricola thermophila	2742145	28	8.588957055214725e-6	0.0012717445610210291
Devosia salina	2860336	28	8.588957055214725e-6	0.0012717445610210291
Bosea vaviloviae	1526658	28	8.588957055214725e-6	0.0012717445610210291
Luteimonas sp. MC1825	2761107	28	8.588957055214725e-6	0.0012717445610210291
Mesorhizobium sp. 8	2584466	27	8.282208588957055e-6	0.0012263251124131353
Mesorhizobium sp. M2A.F.Ca.ET.046.03.2.1	2493674	27	8.282208588957055e-6	0.0012263251124131353
Bosea sp. RAC05	1842539	27	8.282208588957055e-6	0.0012263251124131353
Bosea sp. F3-2	2599640	27	8.282208588957055e-6	0.0012263251124131353
Luteimonas sp. JM171	1896164	27	8.282208588957055e-6	0.0012263251124131353
Halomonas meridiana	29570	27	8.282208588957055e-6	0.0012263251124131353
Bradyrhizobium sp. 195	2782662	26	7.975460122699386e-6	0.0011809056638052413
Martelella mediterranea	293089	26	7.975460122699386e-6	0.0011809056638052413
Polymorphum gilvum	991904	26	7.975460122699386e-6	0.0011809056638052413
Luteimonas sp. MC1572	2799325	26	7.975460122699386e-6	0.0011809056638052413
Lysobacter avium	2781023	26	7.975460122699386e-6	0.0011809056638052413
Streptomyces sp. MA3_2.13	2867410	26	7.975460122699386e-6	0.0011809056638052413
Mesorhizobium terrae	2725666	25	7.668711656441718e-6	0.0011354862151973476
Aminobacter sp. MSH1	374606	25	7.668711656441718e-6	0.0011354862151973476
Aminobacter sp. MDW-2	2666139	25	7.668711656441718e-6	0.0011354862151973476
Ensifer sojae	716925	25	7.668711656441718e-6	0.0011354862151973476
Bradyrhizobium sp. 170	2782641	25	7.668711656441718e-6	0.0011354862151973476
Azospirillum brasilense	192	25	7.668711656441718e-6	0.0011354862151973476
Pseudomonas fluorescens	294	25	7.668711656441718e-6	0.0011354862151973476
Acinetobacter sp. Tol 5	710648	25	7.668711656441718e-6	0.0011354862151973476
Burkholderia pseudomallei	28450	25	7.668711656441718e-6	0.0011354862151973476
Amycolatopsis sp. YIM 10	2653857	25	7.668711656441718e-6	0.0011354862151973476
Microcella alkaliphila	279828	25	7.668711656441718e-6	0.0011354862151973476
Cutibacterium acnes	1747	25	7.668711656441718e-6	0.0011354862151973476
Methylorubrum extorquens	408	24	7.361963190184049e-6	0.0010900667665894536
