SampleName	TotalReads	TotalFragments	TotalUnmapped	GoodFragments	GoodUnmapped	ClassFragments	GoodFragmentsProp	ClassProp	PrepType
TRS22-B251_A_P3-T0	6666770	3333385	8137	3329587	4339	212	0.99886	0.04886	dsDNA
TRS22-B251_A_P3-T0-SS	17850628	8925314	921006	8137187	132879	17586	0.9117	0.13235	ssDNA
TRS22-B251_A_P3-T0-SS-EMS	7721207	3860604	1175575	2969264	284235	46749	0.76912	0.16447	ssDNA-SS
TRS22-B251_A_P3-T0-TAK-MDBP	4701740	2350870	11005	2348541	8676	1969	0.99901	0.22695	dsDNA-SS
TRS22-B251_A_P3-T2	12380212	6190106	15106	6182663	7663	118	0.9988	0.0154	dsDNA
TRS22-B251_A_P3-T2-SS	12216554	6108277	500508	5636109	28340	2715	0.9227	0.0958	ssDNA
TRS22-B251_A_P3-T2-SS-EMS	11221252	5610626	613647	5047124	50145	7611	0.89957	0.15178	ssDNA-SS
TRS22-B251_A_P3-T2-TAK-MDBP	15895872	7947936	14765	7940749	7578	1098	0.9991	0.14489	dsDNA-SS
TRS22-B251_A_P3-T3	14655892	7327946	16306	7319632	7992	118	0.99887	0.01476	dsDNA
TRS22-B251_A_P3-T3-SS	14449969	7224985	594557	6661872	31444	2660	0.92206	0.08459	ssDNA
TRS22-B251_A_P3-T3-SS-EMS	14305742	7152871	758076	6448445	53650	7501	0.90152	0.13981	ssDNA-SS
TRS22-B251_A_P3-T3-TAK-MDBP	16997821	8498911	14389	8491071	6549	899	0.99908	0.13727	dsDNA-SS
TRS22-B251_A_P3-T4	14349922	7174961	16779	7166706	8524	106	0.99885	0.01244	dsDNA
TRS22-B251_A_P3-T4-SS	14121465	7060733	416694	6674208	30169	2483	0.94526	0.0823	ssDNA
TRS22-B251_A_P3-T4-SS-EMS	12315446	6157723	503969	5700702	46948	6820	0.92578	0.14527	ssDNA-SS
TRS22-B251_A_P3-T4-TAK-MDBP	18455882	9227941	15439	9219409	6907	758	0.99908	0.10974	dsDNA-SS
TRS22-B251_A_P3-T5	11469695	5734848	11136	5728717	5005	91	0.99893	0.01818	dsDNA
TRS22-B251_A_P3-T5-SS	21453134	10726567	585148	10182219	40800	2836	0.94925	0.06951	ssDNA
TRS22-B251_A_P3-T5-SS-EMS	15018058	7509029	641502	6919838	52311	7507	0.92154	0.14351	ssDNA-SS
TRS22-B251_A_P3-T5-TAK-MDBP	12409140	6204570	11195	6199513	6138	780	0.99918	0.12708	dsDNA-SS
TRS22-B251_A_P3-T6	10531461	5265731	11601	5260144	6014	64	0.99894	0.01064	dsDNA
TRS22-B251_A_P3-T6-SS	12987859	6493930	569624	5954160	29854	2674	0.91688	0.08957	ssDNA
TRS22-B251_A_P3-T6-SS-EMS	9525151	4762576	640847	4169140	47411	6995	0.8754	0.14754	ssDNA-SS
TRS22-B251_A_P3-T6-TAK-MDBP	11601787	5800894	9621	5795848	4575	484	0.99913	0.10579	dsDNA-SS
TRS22-B251_A_P3-T7	23995308	11997654	29262	11983814	15422	117	0.99885	0.00759	dsDNA
TRS22-B251_A_P3-T7-SS	21853073	10926537	948605	10027113	49181	4442	0.91768	0.09032	ssDNA
TRS22-B251_A_P3-T7-SS-EMS	20058057	10029029	1226709	8891135	88815	12705	0.88654	0.14305	ssDNA-SS
TRS22-B251_A_P3-T7-TAK-MDBP	16284846	8142423	12996	8135136	5709	454	0.99911	0.07952	dsDNA-SS
TRS22-B251_A_P3-T8	10749186	5374593	11850	5368951	6208	71	0.99895	0.01144	dsDNA
TRS22-B251_A_P3-T8-SS	17734173	8867087	722680	8194399	49992	4759	0.92414	0.0952	ssDNA
TRS22-B251_A_P3-T8-SS-EMS	16959556	8479778	864676	7708517	93415	13545	0.90905	0.145	ssDNA-SS
TRS22-B251_A_P3-T8-TAK-MDBP	22547804	11273902	19237	11263754	9089	972	0.9991	0.10694	dsDNA-SS
TRS22-B251_A_P3-T9	9014000	4507000	10625	4501354	4979	69	0.99875	0.01386	dsDNA
TRS22-B251_A_P3-T9-SS	16270952	8135476	568129	7610257	42910	4095	0.93544	0.09543	ssDNA
TRS22-B251_A_P3-T9-SS-EMS	17441411	8720706	736345	8065891	81530	11857	0.92491	0.14543	ssDNA-SS
TRS22-B251_A_P3-T9-TAK-MDBP	26573973	13286987	24141	13273705	10859	1016	0.999	0.09356	dsDNA-SS
TRS22-B266_A_P3-T0	12206889	6103445	15193	6096233	7981	367	0.99882	0.04598	dsDNA
TRS22-B266_A_P3-T0-SS	14698088	7349044	783015	6725371	159342	22422	0.91514	0.14072	ssDNA
TRS22-B266_A_P3-T0-SS-EMS	6896117	3448059	1044147	2765128	361216	59830	0.80194	0.16563	ssDNA-SS
TRS22-B266_A_P3-T0-TAK-MDBP	5886893	2943447	31134	2939186	26873	5964	0.99855	0.22193	dsDNA-SS
TRS22-B266_A_P3-T1	7713406	3856703	10194	3851242	4733	105	0.99858	0.02218	dsDNA
TRS22-B266_A_P3-T1-SS	13152534	6576267	698828	5942803	65364	8130	0.90367	0.12438	ssDNA
TRS22-B266_A_P3-T1-SS-EMS	5978988	2989494	841212	2279070	130788	21167	0.76236	0.16184	ssDNA-SS
TRS22-B266_A_P3-T1-TAK-MDBP	5207523	2603762	14204	2599312	9754	1819	0.99829	0.18649	dsDNA-SS
TRS22-B266_A_P3-T2	8175778	4087889	9345	4083295	4751	67	0.99888	0.0141	dsDNA
TRS22-B266_A_P3-T2-SS	13905333	6952667	734214	6270136	51683	5582	0.90183	0.108	ssDNA
TRS22-B266_A_P3-T2-SS-EMS	7383090	3691545	863028	2919883	91366	14269	0.79097	0.15617	ssDNA-SS
TRS22-B266_A_P3-T2-TAK-MDBP	4296999	2148500	7305	2145714	4519	816	0.9987	0.18057	dsDNA-SS
TRS22-B266_A_P3-T3	10456419	5228210	11950	5222356	6096	64	0.99888	0.0105	dsDNA
TRS22-B266_A_P3-T3-SS	15340570	7670285	921149	6786962	37826	3787	0.88484	0.10012	ssDNA
TRS22-B266_A_P3-T3-SS-EMS	8762607	4381304	1061394	3384302	64392	9775	0.77244	0.1518	ssDNA-SS
TRS22-B266_A_P3-T3-TAK-MDBP	6852488	3426244	8422	3422085	4263	550	0.99879	0.12902	dsDNA-SS
TRS22-B266_A_P3-T4	17500620	8750310	22163	8739116	10969	173	0.99872	0.01577	dsDNA
TRS22-B266_A_P3-T4-SS	13895136	6947568	531342	6464506	48280	5464	0.93047	0.11317	ssDNA
TRS22-B266_A_P3-T4-SS-EMS	7518318	3759159	640480	3205034	86355	13161	0.85259	0.15241	ssDNA-SS
TRS22-B266_A_P3-T4-TAK-MDBP	7101263	3550632	11132	3546055	6555	1181	0.99871	0.18017	dsDNA-SS
TRS22-B266_A_P3-T5	11297848	5648924	17076	5641377	9529	2066	0.99866	0.21681	dsDNA
TRS22-B266_A_P3-T5-SS	22725209	11362605	577844	10880750	95989	15621	0.95759	0.16274	ssDNA
TRS22-B266_A_P3-T5-SS-EMS	12725387	6362694	781509	5787921	206736	41470	0.90967	0.20059	ssDNA-SS
TRS22-B266_A_P3-T5-TAK-MDBP	14645762	7322881	82422	7311690	71231	44356	0.99847	0.62271	dsDNA-SS
TRS22-B266_A_P3-T6	13873051	6936526	18191	6928088	9753	120	0.99878	0.0123	dsDNA
TRS22-B266_A_P3-T6-SS	11924530	5962265	688002	5323927	49664	5261	0.89294	0.10593	ssDNA
TRS22-B266_A_P3-T6-SS-EMS	5800253	2900127	794365	2193860	88098	13483	0.75647	0.15305	ssDNA-SS
TRS22-B266_A_P3-T6-TAK-MDBP	5512065	2756033	10830	2751966	6763	1062	0.99852	0.15703	dsDNA-SS
TRS22-B266_A_P3-T7	9099231	4549616	10775	4544673	5832	146	0.99891	0.02503	dsDNA
TRS22-B266_A_P3-T7-SS	13659958	6829979	538652	6389260	97933	12991	0.93547	0.13265	ssDNA
TRS22-B266_A_P3-T7-SS-EMS	5301532	2650766	676075	2181553	206862	34185	0.82299	0.16526	ssDNA-SS
TRS22-B266_A_P3-T7-TAK-MDBP	2807090	1403545	9538	1401757	7750	1395	0.99873	0.18	dsDNA-SS
TRS22-B266_A_P3-T8	7898950	3949475	9676	3944963	5164	130	0.99886	0.02517	dsDNA
TRS22-B266_A_P3-T8-SS	11318690	5659345	533992	5191785	66432	8505	0.91738	0.12803	ssDNA
TRS22-B266_A_P3-T8-SS-EMS	4764374	2382187	621331	1889447	128591	20971	0.79316	0.16308	ssDNA-SS
TRS22-B266_A_P3-T8-TAK-MDBP	4693680	2346840	12580	2343786	9526	1762	0.9987	0.18497	dsDNA-SS
TRS22-B266_A_P3-T9	9861339	4930670	18999	4924736	13065	1101	0.9988	0.08427	dsDNA
TRS22-B266_A_P3-T9-SS	20505012	10252506	750982	9603632	102108	12821	0.93671	0.12556	ssDNA
